Key,Year,Trade,Industry,LGTA,RPA,RPA_Ctd,BM,LEV,OCF,MTB,Age,Age_Trade,Big4,GC,ESG,RD,ADV,YICounts
44332017,2017,OTC,M1400,14.29115388,0,0,2.103187958,0.47684564,0.087405666,0.475468679,34,10,1,0,52,0.022185282,0.090029467,48
44382022,2022,TSE,M1400,16.61756372,0,0,0.804316164,0.407240974,0.132991857,1.243292184,28,8,1,0,47.61,0.011268293,0.012596487,51
44382021,2021,TSE,M1400,16.51278989,0,0,0.816167303,0.434503869,-0.085963129,1.225238988,28,8,1,0,45.51,0.012764605,0.0147842,51
44382020,2020,TSE,M1400,16.37040981,0,0,0.684351384,0.366484918,0.135658321,1.461237638,28,8,1,0,43.37,0.013603737,0.011301634,50
44382019,2019,TSE,M1400,16.27126771,0,0,0.661642202,0.331124029,0.135058049,1.511390895,28,8,1,0,44.39,0.0118203,0.009732881,49
44382018,2018,TSE,M1400,16.19762026,0,0,0.598291203,0.311528131,0.005193244,1.671426882,28,8,1,0,43.48,0.01304008,0.010769673,49
44382017,2017,TSE,M1400,15.97806386,0,0,0.628503084,0.243437077,-0.052778885,1.591082089,28,8,1,0,40.45,0.011439528,0.012981329,48
44392022,2022,TSE,M1400,15.27691842,0,0,0.636310093,0.298293192,0.202985325,1.571560802,10,4,1,0,46.42,0.001984624,0.019648373,51
44392021,2021,TSE,M1400,15.39604146,0,0,0.724461931,0.486558818,-0.057946069,1.38033478,10,4,1,0,46.34,0.00149278,0.024929048,51
44392020,2020,TSE,M1400,15.20574589,0,0,0.616690744,0.398863986,0.200118283,1.621558309,10,4,1,0,45.43,0.002904516,0.026058999,50
44402022,2022,TSE,M1400,14.62915708,0,0,0.70299333,0.352308831,0.089418559,1.422488603,10,4,1,0,39.45,0.001876459,0.019541379,51
44402021,2021,TSE,M1400,14.58216096,0,0,0.639716186,0.288429876,0.137866636,1.563193213,10,4,1,0,41.54,0.002231667,0.015624966,51
45022022,2022,OTC,M1500,14.76440245,0,0,0.309289517,0.742525493,-0.01407401,3.233216598,45,28,1,0,38.48,0.013767859,0.068879177,94
45022021,2021,OTC,M1500,14.69011225,0,0,0.305828498,0.718731651,-0.071337242,3.269806465,45,28,1,0,41.55,0.016083167,0.065739068,91
45022020,2020,OTC,M1500,14.68068987,0,0,0.277337568,0.757655029,-0.001247773,3.605714174,45,28,1,0,43.29,0.01446369,0.054538372,89
45022019,2019,OTC,M1500,14.58723044,0,0,0.28095196,0.674333621,0.071376077,3.559327367,45,28,1,0,49.78,0.008242222,0.041142674,88
45022018,2018,OTC,M1500,14.61743815,0,0,0.382897611,0.656913628,0.084625096,2.611664245,45,28,1,0,55.83,0.005817823,0.029266135,85
45022017,2017,OTC,M1500,14.58624867,0,0,0.284127688,0.661910713,0.117333476,3.519544354,45,28,1,0,52.75,0.004490415,0.0396216,78
45032022,2022,OTC,M1500,13.54024179,0,0,0.171998795,0.22052549,-0.030254106,5.81399422,43,27,1,0,51.58,0.05180703,0.024631721,94
45032021,2021,OTC,M1500,13.45823258,0,0,0.25405641,0.364778481,-0.105430703,3.936133711,43,27,1,0,54.84,0.058753908,0.046694952,91
